di	sease	Group	PKM2	LDHA	LCP1	ACSF2	MECP2	ARF1	MSN	CTNNB1
ND	_1_08-81	0	9.815477253	10.38257498	7.686374616	7.439981551	6.375082253	11.01165258	8.670043975	6.911786814
ND	_2_08-85	0	9.299227436	10.00278211	8.981489388	7.441696726	6.302283709	10.34206111	9.648431528	6.884705903
ND	_4_08-72	0	9.75155639	11.05698589	8.294284211	7.009870882	6.381005021	10.84902412	9.090498677	7.254986426
ND	_5_08-83	0	9.900068265	11.42149928	7.319901204	6.919140815	6.823189304	11.00583883	8.290321358	7.019457603
ND	_6_97-53	0	9.791488303	11.88528127	7.623393091	6.680190804	6.708845085	10.75244201	8.210949212	7.537498216
ND	_7_98-19	0	9.655208118	11.66427315	8.815052523	6.901047491	6.60548346	10.86122981	9.472289383	7.459342364
ND	_8_97-46	0	9.727277195	11.73153374	8.489102526	6.793170041	6.736616348	10.74512248	8.681691281	7.532818293
ND	_9_97-17	0	9.691309729	11.0610402	7.324421587	6.854771303	6.789194924	10.92529159	8.322960589	7.366530807
ND	_10_97-19	0	9.659136444	11.96868321	7.428490197	6.619471666	6.74739352	10.69176069	8.231521499	7.617986047
ND	_11_97-45	0	9.720362133	11.83383783	7.161211446	6.694508334	6.825531312	10.71436606	8.140127487	7.555903384
ND	_12_97-03	0	9.464766836	11.55229537	7.527628399	6.905145055	6.631109419	11.05624533	8.472352142	7.465534308
ND	_25_99-04	0	11.23641874	11.90592997	8.712088339	6.631609984	7.37221601	10.95729463	9.620631892	7.191157365
ND	_26_99-27	0	10.83530746	11.4736719	9.29305856	6.631609984	7.33306822	10.86400868	9.5894267	7.273619157
ND	_27_92-10	0	10.50328609	10.93729236	7.557237795	6.782696565	7.219833559	10.71307235	9.54673499	7.24826979
ND	_28_92-14	0	10.92098292	11.29067943	8.007216849	6.830516839	7.16286709	10.92958162	9.521980431	7.635522098
ND	_29_92-32	0	11.08530497	11.58348877	8.176419804	6.645154439	7.517540916	10.84370913	9.321618688	7.781164258
